
016-08-18 15:42:01,411|00249D48224080C375F5672309DCCBBEA78C9885|94.101.144.90:53217
2016-08-18 15:42:01,441|4F90808160DC467B7D816C5A7BCADD0800CC8274|195.154.5.203:51413
2016-08-18 15:42:03,821|85B95F29A221D459603CC3091602F430B14245ED|77.234.165.211:37844
2016-08-18 15:42:03,824|4A9AF281A69F0E402D8B63759BECB87D8F5BDDC6|88.114.169.106:57235
2016-08-18 15:42:03,826|60BB60E16CD6AE529049F1F1BBE9EBB3A6C0684F|106.158.235.80:43479
2016-08-18 15:42:03,831|4FA411E16CD6AE529049F1F1BBE9EB3900001C3C|81.245.255.13:17339
2016-08-18 15:42:03,834|03FB041C5CA42DED1199A80CB5D3937A29606D47|98.24.167.164:61137
2016-08-18 15:42:03,836|8CD4E4B3A6DB3C870C3EA39800003B4B00004A85|80.119.94.14:47274
2016-08-18 15:42:03,839|51DE36F1F1BBE9EBB3A44FFE000004C90000006B|201.219.98.31:11391
2016-08-18 15:42:03,841|24155A90850BB3C277E1183000000EF700000425|206.172.101.118:47166
2016-08-18 15:42:03,843|83B001EC045BE838511CE9CE000050C300006EAC|81.234.194.212:28902
2016-08-18 15:42:03,846|A326F8E161347577509AC4BF000037A200000381|130.204.241.179:14308
2016-08-18 15:42:03,848|B184BA194A5C4FFF83F3ECA42F13300B21D439A5|115.212.137.170:1208
2016-08-18 15:42:03,852|495CDD831E713C00F73B2E350000404E0000327C|85.253.122.21:25772
2016-08-18 15:42:03,856|863ECBBBE9EBB3A6DB3D6762000005340000201E|5.18.200.54:20327
2016-08-18 15:42:03,858|7F349D541F0AD87188C7709B00004886000033B4|88.248.13.207:31841
2016-08-18 15:42:03,861|C7D7F66E62D9ACFC612527D1000060F30000552B|124.169.105.110:38111
2016-08-18 15:42:03,863|3BD74B7C43DD8DB4E3BED6175BB84752E37ED963|212.109.27.130:2562
2016-08-18 15:42:03,865|86F94C990352F1E05FF1F61A00005FCB00000EC0|85.64.194.163:23001
2016-08-18 15:42:03,873|673F2DC2D83D24556F6F106AE978FD9BBA748A37|62.210.99.82:55020
2016-08-18 15:42:03,875|F0D67966E589193BFCA9D76FBE5B3F2F9B62BC12|94.23.74.220:15337
2016-08-18 15:42:03,878|CA6847360160314ECC0D70928398EB800790E5CA|94.23.74.220:15337
2016-08-18 15:42:03,881|3C170B8C34DF2AD8CCE3FA135EA05C4C00006354|85.130.77.223:45093
2016-08-18 15:42:03,899|42AED40805C10622B1B257A0EC06617A929D0D78|94.23.74.220:15337
2016-08-18 15:42:03,901|2F307FE09D8779D45D93F241ED96EFF11C544AC7|94.23.74.220:15337
2016-08-18 15:42:03,909|5E5AB5E02171BB972BBB4A6DB521E6677DAFB082|94.23.74.220:15337
2016-08-18 15:42:03,910|34EF87345972A7C5CA7036FF435332424A6846FB|94.23.74.220:15337
2016-08-18 15:42:03,913|2F691EB59DD72522426A2F19A79A97F1C1A77D1E|94.23.74.220:15337
2016-08-18 15:42:03,915|D007B25AC66862E4D6E1F7EB24323972D0AECAFA|94.23.74.220:15337
2016-08-18 15:42:03,917|B80092F2EB914CF04DBE1DAE7AE30082537A96DC|94.23.74.220:15337
2016-08-18 15:42:03,919|A5285723717E6E2A78D23D64CB08972BE1993EB5|94.23.74.220:15337
2016-08-18 15:42:03,922|985EF453B3BB02F87F0B481960277011DE7CFDF6|94.23.74.220:15337
2016-08-18 15:42:03,924|95FD9A7FD64164FFF73821B2A16D3B4AEE3E8E5F|94.23.74.220:15337
2016-08-18 15:42:03,926|7C6AB2CC11398B011A9D78502F63072EBF3F71AD|94.23.74.220:15337
2016-08-18 15:42:03,929|33CB8EC98DEB2A128B3DB5CE070DB4D1CBC648D4|94.23.74.220:15337
2016-08-18 15:42:03,931|413BB28830FAF88F57B1ED2EEB4B34F6C2B5927D|94.23.74.220:15337
2016-08-18 15:42:03,933|F072636FF2E95059A7F385DDD5181421B37A26E0|94.23.74.220:15337
2016-08-18 15:42:03,936|0D91552AB602FF8FB9E0219AEB6567E27A9CF936|94.23.74.220:15337
2016-08-18 15:42:03,938|9C1942F9789D7B704C3AB8B1A076101303466AA8|94.23.74.220:15337
2016-08-18 15:42:03,940|73D1F4F50058DAB315071DBF9396585AC9F01B6B|94.23.74.220:15337
2016-08-18 15:42:03,942|F966CEBB8DC2C88FE3A67B4A674322F4429EA189|94.23.74.220:15337
2016-08-18 15:42:03,944|F15602399B0E4D8E517C42373D00AA5D5880913E|94.23.74.220:15337
2016-08-18 15:42:03,946|0E0BCC19653C5B6C3572C29FBE6AEFBC69C58C61|94.23.74.220:15337
2016-08-18 15:42:03,949|EAE0AF7B795D9D06BB0CEE61547D78E57CB9ABE6|94.23.74.220:15337
